Fixtures,Expected Goal Difference,Actual Goal Difference
Liverpoolvs. Chelsea,0.0,0
Tottenhamvs. Man City,2.0,2
Man Unitedvs. Aston Villa,3.0,3
Evertonvs. Fulham,1.0,1
Man Cityvs. West Ham,1.0,1
Newcastlevs. Liverpool,-6.0,-6
Southamptonvs. West Brom,-3.0,-3
Stokevs. Norwich,1.0,1
Wiganvs. Tottenham,0.0,0
Arsenalvs. Man United,0.0,0
Chelseavs. Swansea,2.0,2
Readingvs. QPR,0.0,0
Aston Villavs. Sunderland,5.0,5
Fulhamvs. Reading,-2.0,-2
Norwichvs. Aston Villa,-1.0,-1
QPRvs. Arsenal,-1.0,-1
Swanseavs. Man City,0.0,0
Tottenhamvs. Southampton,1.0,1
West Bromvs. Wigan,-1.0,-1
West Hamvs. Newcastle,0.0,0
Liverpoolvs. Everton,0.0,0
Man Unitedvs. Chelsea,-1.0,-1
Sunderlandvs. Stoke,0.0,0
Man Cityvs. West Brom,1.0,1
Wiganvs. Swansea,-1.0,-1
Chelseavs. Tottenham,0.0,0
Aston Villavs. Chelsea,-1.0,-1
Evertonvs. West Ham,2.0,2
Fulhamvs. Liverpool,-2.0,-2
Man Unitedvs. Swansea,1.0,1
Norwichvs. West Brom,4.0,4
QPRvs. Newcastle,-1.0,-1
Stokevs. Tottenham,-1.0,-1
Sunderlandvs. Southampton,0.0,0
Arsenalvs. Wigan,3.0,3
Readingvs. Man City,-2.0,-2
Chelseavs. Everton,1.0,1
Liverpoolvs. QPR,1.0,1
Man Cityvs. Norwich,-1.0,-1
Newcastlevs. Arsenal,-1.0,-1
Southamptonvs. Stoke,0.0,0
Swanseavs. Fulham,-3.0,-3
Tottenhamvs. Sunderland,1.0,1
West Bromvs. Man United,0.0,0
West Hamvs. Reading,2.0,2
Wiganvs. Aston Villa,0.0,0
Arsenalvs. Aston Villa,-2.0,-2
Liverpoolvs. Stoke,1.0,1
Norwichvs. Everton,0.0,0
Sunderlandvs. Fulham,-1.0,-1
Swanseavs. Man United,-3.0,-3
West Bromvs. Southampton,-1.0,-1
West Hamvs. Cardiff,2.0,2
Chelseavs. Hull,2.0,2
Crystal Palacevs. Tottenham,-1.0,-1
Man Cityvs. Newcastle,4.0,4
Chelseavs. Aston Villa,1.0,1
Aston Villavs. Liverpool,-1.0,-1
Evertonvs. West Brom,0.0,0
Fulhamvs. Arsenal,-2.0,-2
Hullvs. Norwich,1.0,1
Newcastlevs. West Ham,0.0,0
Southamptonvs. Sunderland,0.0,0
Stokevs. Crystal Palace,1.0,1
Cardiffvs. Man City,1.0,1
Tottenhamvs. Swansea,1.0,1
Man Unitedvs. Chelsea,0.0,0
Cardiffvs. Everton,0.0,0
Crystal Palacevs. Sunderland,2.0,2
Man Cityvs. Hull,2.0,2
Newcastlevs. Fulham,1.0,1
Norwichvs. Southampton,1.0,1
West Hamvs. Stoke,-1.0,-1
Arsenalvs. Tottenham,1.0,1
Liverpoolvs. Man United,1.0,1
West Bromvs. Swansea,-2.0,-2
Aston Villavs. Newcastle,-1.0,-1
Evertonvs. Chelsea,1.0,1
Fulhamvs. West Brom,0.0,0
Hullvs. Cardiff,0.0,0
Man Unitedvs. Crystal Palace,2.0,2
Stokevs. Man City,0.0,0
Sunderlandvs. Arsenal,-2.0,-2
Tottenhamvs. Norwich,2.0,2
Southamptonvs. West Ham,0.0,0
Swanseavs. Liverpool,0.0,0
Chelseavs. Fulham,2.0,2
Liverpoolvs. Southampton,-1.0,-1
Newcastlevs. Hull,-1.0,-1
Norwichvs. Aston Villa,-1.0,-1
West Bromvs. Sunderland,3.0,3
West Hamvs. Everton,-1.0,-1
Arsenalvs. Stoke,2.0,2
Cardiffvs. Tottenham,-1.0,-1
Crystal Palacevs. Swansea,-2.0,-2
Man Cityvs. Man United,3.0,3
Aston Villavs. Man City,1.0,1
Fulhamvs. Cardiff,-1.0,-1
Hullvs. West Ham,1.0,1
Man Unitedvs. West Brom,-1.0,-1
Southamptonvs. Crystal Palace,2.0,2
Swanseavs. Arsenal,-1.0,-1
Tottenhamvs. Chelsea,0.0,0
Stokevs. Norwich,-1.0,-1
Sunderlandvs. Liverpool,-2.0,-2
Evertonvs. Newcastle,1.0,1
Cardiffvs. Newcastle,-1.0,-1
Fulhamvs. Stoke,1.0,1
Hullvs. Aston Villa,0.0,0
Liverpoolvs. Crystal Palace,2.0,2
Man Cityvs. Everton,2.0,2
Sunderlandvs. Man United,-1.0,-1
Norwichvs. Chelsea,-2.0,-2
Southamptonvs. Swansea,2.0,2
Tottenhamvs. West Ham,-3.0,-3
West Bromvs. Arsenal,0.0,0
Arsenalvs. Norwich,3.0,3
Chelseavs. Cardiff,3.0,3
Evertonvs. Hull,1.0,1
Man Unitedvs. Southampton,0.0,0
Newcastlevs. Liverpool,0.0,0
Stokevs. West Brom,0.0,0
Swanseavs. Sunderland,4.0,4
West Hamvs. Man City,-2.0,-2
Aston Villavs. Tottenham,-2.0,-2
Crystal Palacevs. Fulham,-3.0,-3
Aston Villavs. Everton,-2.0,-2
Crystal Palacevs. Arsenal,-2.0,-2
Liverpoolvs. West Brom,3.0,3
Man Unitedvs. Stoke,1.0,1
Norwichvs. Cardiff,0.0,0
Southamptonvs. Fulham,2.0,2
Chelseavs. Man City,1.0,1
Sunderlandvs. Newcastle,1.0,1
Swanseavs. West Ham,0.0,0
Tottenhamvs. Hull,1.0,1
Arsenalvs. Liverpool,2.0,2
Fulhamvs. Man United,-2.0,-2
Hullvs. Sunderland,1.0,1
Man Cityvs. Norwich,7.0,7
Newcastlevs. Chelsea,2.0,2
Stokevs. Southampton,0.0,0
West Bromvs. Crystal Palace,2.0,2
West Hamvs. Aston Villa,0.0,0
Cardiffvs. Swansea,1.0,1
Evertonvs. Tottenham,0.0,0
Aston Villavs. Cardiff,2.0,2
Chelseavs. West Brom,0.0,0
Crystal Palacevs. Everton,0.0,0
Liverpoolvs. Fulham,4.0,4
Norwichvs. West Ham,2.0,2
Southamptonvs. Hull,3.0,3
Man Unitedvs. Arsenal,1.0,1
Sunderlandvs. Man City,1.0,1
Swanseavs. Stoke,0.0,0
Tottenhamvs. Newcastle,-1.0,-1
Arsenalvs. Southampton,2.0,2
Evertonvs. Liverpool,0.0,0
Fulhamvs. Swansea,-1.0,-1
Hullvs. Crystal Palace,-1.0,-1
Newcastlevs. Norwich,1.0,1
Stokevs. Sunderland,2.0,2
West Hamvs. Chelsea,-3.0,-3
Cardiffvs. Man United,0.0,0
Man Cityvs. Tottenham,6.0,6
West Bromvs. Aston Villa,0.0,0
Aston Villavs. Sunderland,0.0,0
Cardiffvs. Arsenal,-3.0,-3
Evertonvs. Stoke,4.0,4
Newcastlevs. West Brom,1.0,1
Norwichvs. Crystal Palace,1.0,1
West Hamvs. Fulham,3.0,3
Chelseavs. Southampton,2.0,2
Hullvs. Liverpool,2.0,2
Man Cityvs. Swansea,3.0,3
Tottenhamvs. Man United,0.0,0
Crystal Palacevs. West Ham,1.0,1
Arsenalvs. Hull,2.0,2
Fulhamvs. Tottenham,-1.0,-1
Liverpoolvs. Norwich,4.0,4
Man Unitedvs. Everton,-1.0,-1
Southamptonvs. Aston Villa,-1.0,-1
Stokevs. Cardiff,0.0,0
Sunderlandvs. Chelsea,-1.0,-1
Swanseavs. Newcastle,3.0,3
West Bromvs. Man City,-1.0,-1
Crystal Palacevs. Cardiff,2.0,2
Liverpoolvs. West Ham,3.0,3
Man Unitedvs. Newcastle,-1.0,-1
Southamptonvs. Man City,0.0,0
Stokevs. Chelsea,1.0,1
Sunderlandvs. Tottenham,-1.0,-1
West Bromvs. Norwich,-2.0,-2
Arsenalvs. Everton,0.0,0
Fulhamvs. Aston Villa,2.0,2
Swanseavs. Hull,0.0,0
Cardiffvs. West Brom,1.0,1
Chelseavs. Crystal Palace,1.0,1
Evertonvs. Fulham,3.0,3
Hullvs. Stoke,0.0,0
Man Cityvs. Arsenal,3.0,3
Newcastlevs. Southampton,0.0,0
West Hamvs. Sunderland,0.0,0
Aston Villavs. Man United,-3.0,-3
Norwichvs. Swansea,0.0,0
Tottenhamvs. Liverpool,-5.0,-5
Crystal Palacevs. Newcastle,-3.0,-3
Fulhamvs. Man City,-2.0,-2
Liverpoolvs. Cardiff,2.0,2
Man Unitedvs. West Ham,2.0,2
Stokevs. Aston Villa,1.0,1
Sunderlandvs. Norwich,0.0,0
West Bromvs. Hull,0.0,0
Southamptonvs. Tottenham,-1.0,-1
Swanseavs. Everton,-1.0,-1
Arsenalvs. Chelsea,0.0,0
Aston Villavs. Crystal Palace,-1.0,-1
Cardiffvs. Southampton,-3.0,-3
Chelseavs. Swansea,1.0,1
Evertonvs. Sunderland,-1.0,-1
Hullvs. Man United,-1.0,-1
Man Cityvs. Liverpool,1.0,1
Newcastlevs. Stoke,4.0,4
Norwichvs. Fulham,-1.0,-1
Tottenhamvs. West Brom,0.0,0
West Hamvs. Arsenal,-2.0,-2
Aston Villavs. Swansea,0.0,0
Cardiffvs. Sunderland,0.0,0
Hullvs. Fulham,6.0,6
Man Cityvs. Crystal Palace,1.0,1
Norwichvs. Man United,-1.0,-1
West Hamvs. West Brom,0.0,0
Chelseavs. Liverpool,1.0,1
Evertonvs. Southampton,1.0,1
Newcastlevs. Arsenal,-1.0,-1
Tottenhamvs. Stoke,3.0,3
Arsenalvs. Cardiff,2.0,2
Crystal Palacevs. Norwich,0.0,0
Fulhamvs. West Ham,1.0,1
Liverpoolvs. Hull,2.0,2
Man Unitedvs. Tottenham,-1.0,-1
Southamptonvs. Chelsea,-3.0,-3
Stokevs. Everton,0.0,0
Sunderlandvs. Aston Villa,-1.0,-1
Swanseavs. Man City,-1.0,-1
West Bromvs. Newcastle,1.0,1
Cardiffvs. West Ham,-2.0,-2
Evertonvs. Norwich,2.0,2
Fulhamvs. Sunderland,-3.0,-3
Hullvs. Chelsea,-2.0,-2
Man Unitedvs. Swansea,2.0,2
Southamptonvs. West Brom,1.0,1
Tottenhamvs. Crystal Palace,2.0,2
Newcastlevs. Man City,-2.0,-2
Stokevs. Liverpool,-2.0,-2
Aston Villavs. Arsenal,-1.0,-1
Arsenalvs. Fulham,2.0,2
Crystal Palacevs. Stoke,1.0,1
Liverpoolvs. Aston Villa,0.0,0
Man Cityvs. Cardiff,2.0,2
Norwichvs. Hull,1.0,1
Sunderlandvs. Southampton,0.0,0
West Hamvs. Newcastle,-2.0,-2
Chelseavs. Man United,2.0,2
Swanseavs. Tottenham,-2.0,-2
West Bromvs. Everton,0.0,0
Crystal Palacevs. Hull,1.0,1
Liverpoolvs. Everton,4.0,4
Man Unitedvs. Cardiff,2.0,2
Norwichvs. Newcastle,0.0,0
Southamptonvs. Arsenal,0.0,0
Swanseavs. Fulham,2.0,2
Aston Villavs. West Brom,1.0,1
Chelseavs. West Ham,0.0,0
Sunderlandvs. Stoke,1.0,1
Tottenhamvs. Man City,-4.0,-4
Cardiffvs. Norwich,1.0,1
Evertonvs. Aston Villa,1.0,1
Fulhamvs. Southampton,-3.0,-3
Hullvs. Tottenham,0.0,0
Newcastlevs. Sunderland,-3.0,-3
Stokevs. Man United,1.0,1
West Hamvs. Swansea,2.0,2
Arsenalvs. Crystal Palace,2.0,2
West Bromvs. Liverpool,0.0,0
Man Cityvs. Chelsea,-1.0,-1
Aston Villavs. West Ham,-2.0,-2
Chelseavs. Newcastle,3.0,3
Crystal Palacevs. West Brom,2.0,2
Liverpoolvs. Arsenal,4.0,4
Norwichvs. Man City,0.0,0
Southamptonvs. Stoke,0.0,0
Sunderlandvs. Hull,-2.0,-2
Swanseavs. Cardiff,3.0,3
Man Unitedvs. Fulham,0.0,0
Tottenhamvs. Everton,1.0,1
Cardiffvs. Aston Villa,0.0,0
Hullvs. Southampton,-1.0,-1
West Bromvs. Chelsea,0.0,0
West Hamvs. Norwich,2.0,2
Arsenalvs. Man United,0.0,0
Fulhamvs. Liverpool,-1.0,-1
Newcastlevs. Tottenham,-4.0,-4
Stokevs. Swansea,0.0,0
Arsenalvs. Sunderland,3.0,3
Cardiffvs. Hull,-4.0,-4
Chelseavs. Everton,1.0,1
Crystal Palacevs. Man United,-2.0,-2
Man Cityvs. Stoke,1.0,1
West Bromvs. Fulham,0.0,0
West Hamvs. Southampton,2.0,2
Liverpoolvs. Swansea,1.0,1
Newcastlevs. Aston Villa,1.0,1
Norwichvs. Tottenham,1.0,1
Evertonvs. West Ham,1.0,1
Fulhamvs. Chelsea,-2.0,-2
Hullvs. Newcastle,-3.0,-3
Southamptonvs. Liverpool,-3.0,-3
Stokevs. Arsenal,1.0,1
Aston Villavs. Norwich,3.0,3
Swanseavs. Crystal Palace,0.0,0
Tottenhamvs. Cardiff,1.0,1
Cardiffvs. Fulham,2.0,2
Chelseavs. Tottenham,4.0,4
Crystal Palacevs. Southampton,-1.0,-1
Norwichvs. Stoke,0.0,0
West Bromvs. Man United,-3.0,-3
Aston Villavs. Chelsea,1.0,1
Evertonvs. Cardiff,1.0,1
Fulhamvs. Newcastle,1.0,1
Hullvs. Man City,-2.0,-2
Southamptonvs. Norwich,2.0,2
Stokevs. West Ham,2.0,2
Sunderlandvs. Crystal Palace,0.0,0
Swanseavs. West Brom,-1.0,-1
Man Unitedvs. Liverpool,-3.0,-3
Tottenhamvs. Arsenal,-1.0,-1
Cardiffvs. Liverpool,-3.0,-3
Chelseavs. Arsenal,6.0,6
Evertonvs. Swansea,1.0,1
Hullvs. West Brom,2.0,2
Man Cityvs. Fulham,5.0,5
Newcastlevs. Crystal Palace,1.0,1
Norwichvs. Sunderland,2.0,2
West Hamvs. Man United,-2.0,-2
Aston Villavs. Stoke,-3.0,-3
Tottenhamvs. Southampton,1.0,1
Arsenalvs. Swansea,0.0,0
Man Unitedvs. Man City,-3.0,-3
Newcastlevs. Everton,-3.0,-3
Liverpoolvs. Sunderland,1.0,1
West Hamvs. Hull,1.0,1
Arsenalvs. Man City,0.0,0
Crystal Palacevs. Chelsea,1.0,1
Man Unitedvs. Aston Villa,3.0,3
Southamptonvs. Newcastle,4.0,4
Stokevs. Hull,1.0,1
Swanseavs. Norwich,3.0,3
West Bromvs. Cardiff,0.0,0
Fulhamvs. Everton,-2.0,-2
Liverpoolvs. Tottenham,4.0,4
Sunderlandvs. West Ham,-1.0,-1
Aston Villavs. Fulham,-1.0,-1
Cardiffvs. Crystal Palace,-3.0,-3
Chelseavs. Stoke,3.0,3
Hullvs. Swansea,1.0,1
Man Cityvs. Southampton,3.0,3
Newcastlevs. Man United,-4.0,-4
Norwichvs. West Brom,-1.0,-1
Evertonvs. Arsenal,3.0,3
West Hamvs. Liverpool,-1.0,-1
Tottenhamvs. Sunderland,4.0,4
Crystal Palacevs. Aston Villa,1.0,1
Fulhamvs. Norwich,1.0,1
Southamptonvs. Cardiff,-1.0,-1
Stokevs. Newcastle,1.0,1
Sunderlandvs. Everton,-1.0,-1
West Bromvs. Tottenham,0.0,0
Liverpoolvs. Man City,1.0,1
Swanseavs. Chelsea,-1.0,-1
Arsenalvs. West Ham,2.0,2
Evertonvs. Crystal Palace,-1.0,-1
Man Cityvs. Sunderland,0.0,0
Aston Villavs. Southampton,0.0,0
Cardiffvs. Stoke,0.0,0
Chelseavs. Sunderland,-1.0,-1
Newcastlevs. Swansea,-1.0,-1
Tottenhamvs. Fulham,2.0,2
West Hamvs. Crystal Palace,-1.0,-1
Evertonvs. Man United,2.0,2
Hullvs. Arsenal,-3.0,-3
Norwichvs. Liverpool,-1.0,-1
Man Cityvs. West Brom,2.0,2
Fulhamvs. Hull,0.0,0
Man Unitedvs. Norwich,4.0,4
Southamptonvs. Everton,2.0,2
Stokevs. Tottenham,-1.0,-1
Swanseavs. Aston Villa,3.0,3
West Bromvs. West Ham,1.0,1
Crystal Palacevs. Man City,-2.0,-2
Liverpoolvs. Chelsea,-2.0,-2
Sunderlandvs. Cardiff,4.0,4
Arsenalvs. Newcastle,3.0,3
Aston Villavs. Hull,2.0,2
Man Unitedvs. Sunderland,-1.0,-1
Newcastlevs. Cardiff,3.0,3
Stokevs. Fulham,3.0,3
Swanseavs. Southampton,-1.0,-1
West Hamvs. Tottenham,2.0,2
Evertonvs. Man City,-1.0,-1
Arsenalvs. West Brom,1.0,1
Chelseavs. Norwich,0.0,0
Crystal Palacevs. Liverpool,0.0,0
Man Unitedvs. Hull,2.0,2
Man Cityvs. Aston Villa,4.0,4
Sunderlandvs. West Brom,2.0,2
Cardiffvs. Chelsea,-1.0,-1
Fulhamvs. Crystal Palace,0.0,0
Hullvs. Everton,-2.0,-2
Liverpoolvs. Newcastle,1.0,1
Man Cityvs. West Ham,2.0,2
Norwichvs. Arsenal,-2.0,-2
Southamptonvs. Man United,0.0,0
Sunderlandvs. Swansea,-2.0,-2
Tottenhamvs. Aston Villa,3.0,3
West Bromvs. Stoke,-1.0,-1
