Fixtures,Expected Goal Difference,Actual Goal Difference
Evertonvs. Swansea,1.0,1
Fulhamvs. Man United,-5.0,-5
Man Cityvs. Stoke,3.0,3
Newcastlevs. West Brom,-1.0,-1
QPRvs. Sunderland,-1.0,-1
Wiganvs. Liverpool,0.0,0
Tottenhamvs. Chelsea,0.0,0
Boltonvs. Newcastle,-2.0,-2
Chelseavs. Fulham,0.0,0
Liverpoolvs. Blackburn,0.0,0
Man Unitedvs. Wigan,5.0,5
Stokevs. Aston Villa,0.0,0
Sunderlandvs. Everton,0.0,0
West Bromvs. Man City,0.0,0
Arsenalvs. Wolves,0.0,0
Norwichvs. Tottenham,-2.0,-2
Swanseavs. QPR,0.0,0
Liverpoolvs. Newcastle,2.0,2
Arsenalvs. QPR,1.0,1
Boltonvs. Wolves,0.0,0
Chelseavs. Aston Villa,-2.0,-2
Man Unitedvs. Blackburn,-1.0,-1
Norwichvs. Fulham,0.0,0
Stokevs. Wigan,0.0,0
Swanseavs. Tottenham,0.0,0
Sunderlandvs. Man City,1.0,1
West Bromvs. Everton,-1.0,-1
Aston Villavs. Swansea,-2.0,-2
Blackburnvs. Stoke,-1.0,-1
Fulhamvs. Arsenal,1.0,1
QPRvs. Norwich,-1.0,-1
Wolvesvs. Chelsea,-1.0,-1
Man Cityvs. Liverpool,3.0,3
Tottenhamvs. West Brom,1.0,1
Wiganvs. Sunderland,-3.0,-3
Evertonvs. Bolton,-1.0,-1
Newcastlevs. Man United,3.0,3
Tottenhamvs. Everton,2.0,2
Aston Villavs. Everton,0.0,0
Blackburnvs. Fulham,2.0,2
Chelseavs. Sunderland,1.0,1
Liverpoolvs. Stoke,0.0,0
Man Unitedvs. Bolton,3.0,3
Tottenhamvs. Wolves,0.0,0
West Bromvs. Norwich,-1.0,-1
Newcastlevs. QPR,1.0,1
Swanseavs. Arsenal,1.0,1
Wiganvs. Man City,-1.0,-1
Boltonvs. Liverpool,2.0,2
Evertonvs. Blackburn,0.0,0
Fulhamvs. Newcastle,3.0,3
Norwichvs. Chelsea,0.0,0
QPRvs. Wigan,2.0,2
Stokevs. West Brom,-1.0,-1
Sunderlandvs. Swansea,2.0,2
Wolvesvs. Aston Villa,-1.0,-1
Arsenalvs. Man United,-1.0,-1
Man Cityvs. Tottenham,1.0,1
Evertonvs. Man City,1.0,1
Man Unitedvs. Stoke,2.0,2
Swanseavs. Chelsea,0.0,0
Tottenhamvs. Wigan,2.0,2
Wolvesvs. Liverpool,-3.0,-3
Aston Villavs. QPR,0.0,0
Blackburnvs. Newcastle,-2.0,-2
Boltonvs. Arsenal,0.0,0
Fulhamvs. West Brom,0.0,0
Sunderlandvs. Norwich,3.0,3
Arsenalvs. Blackburn,6.0,6
Man Cityvs. Fulham,3.0,3
Norwichvs. Bolton,2.0,2
QPRvs. Wolves,-1.0,-1
Stokevs. Sunderland,-1.0,-1
West Bromvs. Swansea,-1.0,-1
Wiganvs. Everton,0.0,0
Chelseavs. Man United,0.0,0
Newcastlevs. Aston Villa,1.0,1
Liverpoolvs. Tottenham,0.0,0
Blackburnvs. QPR,1.0,1
Boltonvs. Wigan,-1.0,-1
Evertonvs. Chelsea,2.0,2
Fulhamvs. Stoke,1.0,1
Man Unitedvs. Liverpool,1.0,1
Sunderlandvs. Arsenal,-1.0,-1
Swanseavs. Norwich,-1.0,-1
Tottenhamvs. Newcastle,5.0,5
Aston Villavs. Man City,-1.0,-1
Wolvesvs. West Brom,-4.0,-4
Chelseavs. Bolton,3.0,3
Man Cityvs. Blackburn,3.0,3
Newcastlevs. Wolves,0.0,0
QPRvs. Fulham,-1.0,-1
West Bromvs. Sunderland,4.0,4
Wiganvs. Aston Villa,0.0,0
Arsenalvs. Tottenham,3.0,3
Norwichvs. Man United,-1.0,-1
Stokevs. Swansea,2.0,2
Blackburnvs. Aston Villa,0.0,0
Liverpoolvs. Arsenal,-1.0,-1
Man Cityvs. Bolton,2.0,2
QPRvs. Everton,0.0,0
Stokevs. Norwich,1.0,1
West Bromvs. Chelsea,1.0,1
Wiganvs. Swansea,-2.0,-2
Fulhamvs. Wolves,5.0,5
Newcastlevs. Sunderland,0.0,0
Tottenhamvs. Man United,-2.0,-2
Aston Villavs. Fulham,1.0,1
Boltonvs. QPR,1.0,1
Chelseavs. Stoke,1.0,1
Evertonvs. Tottenham,1.0,1
Sunderlandvs. Liverpool,1.0,1
Wolvesvs. Blackburn,-2.0,-2
Man Unitedvs. West Brom,2.0,2
Norwichvs. Wigan,0.0,0
Swanseavs. Man City,1.0,1
Arsenalvs. Newcastle,1.0,1
Liverpoolvs. Everton,3.0,3
Fulhamvs. Swansea,-3.0,-3
Wiganvs. West Brom,0.0,0
Newcastlevs. Norwich,1.0,1
Wolvesvs. Man United,-5.0,-5
Blackburnvs. Sunderland,2.0,2
Evertonvs. Arsenal,-1.0,-1
Man Cityvs. Chelsea,1.0,1
QPRvs. Liverpool,1.0,1
Tottenhamvs. Stoke,0.0,0
Arsenalvs. Aston Villa,3.0,3
Boltonvs. Blackburn,1.0,1
Chelseavs. Tottenham,0.0,0
Liverpoolvs. Wigan,-1.0,-1
Norwichvs. Wolves,1.0,1
Stokevs. Man City,0.0,0
Sunderlandvs. QPR,2.0,2
Swanseavs. Everton,-2.0,-2
West Bromvs. Newcastle,-2.0,-2
Man Unitedvs. Fulham,1.0,1
Aston Villavs. Chelsea,-2.0,-2
Evertonvs. West Brom,2.0,2
Fulhamvs. Norwich,1.0,1
Man Cityvs. Sunderland,0.0,0
QPRvs. Arsenal,1.0,1
Wiganvs. Stoke,2.0,2
Wolvesvs. Bolton,-1.0,-1
Newcastlevs. Liverpool,2.0,2
Tottenhamvs. Swansea,2.0,2
Blackburnvs. Man United,-2.0,-2
Swanseavs. Newcastle,-2.0,-2
Boltonvs. Fulham,-3.0,-3
Chelseavs. Wigan,1.0,1
Liverpoolvs. Aston Villa,0.0,0
Norwichvs. Everton,0.0,0
Stokevs. Wolves,1.0,1
Sunderlandvs. Tottenham,0.0,0
West Bromvs. Blackburn,3.0,3
Arsenalvs. Man City,1.0,1
Man Unitedvs. QPR,2.0,2
Aston Villavs. Stoke,0.0,0
Evertonvs. Sunderland,4.0,4
Fulhamvs. Chelsea,0.0,0
Newcastlevs. Bolton,2.0,2
Tottenhamvs. Norwich,-1.0,-1
Blackburnvs. Liverpool,-1.0,-1
Man Cityvs. West Brom,4.0,4
QPRvs. Swansea,3.0,3
Wiganvs. Man United,1.0,1
Wolvesvs. Arsenal,-3.0,-3
Norwichvs. Man City,-5.0,-5
Sunderlandvs. Wolves,0.0,0
Swanseavs. Blackburn,3.0,3
West Bromvs. QPR,1.0,1
Man Unitedvs. Aston Villa,4.0,4
Arsenalvs. Wigan,-1.0,-1
Arsenalvs. Chelsea,0.0,0
Aston Villavs. Sunderland,0.0,0
